"scn","year","variable","description","unit","value","met"
"harvest_0_1day_above",1901,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",0.0450425186888379,"met1"
"harvest_0_1day_above",1902,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",0.0899923040766314,"met1"
"harvest_0_1day_above",1903,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",0.1680819389132,"met1"
"harvest_0_1day_above",1904,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",0.286777712376886,"met1"
"harvest_0_1day_above",1905,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",0.440222823159725,"met1"
"harvest_0_1day_above",1906,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",0.628408787082855,"met1"
"harvest_0_1day_above",1907,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",0.845827069831722,"met1"
"harvest_0_1day_above",1908,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",1.09069813752439,"met1"
"harvest_0_1day_above",1909,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",1.3570801193522,"met1"
"harvest_0_1day_above",1910,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",1.64053083995603,"met1"
"harvest_0_1day_above",1911,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",1.93952634586649,"met1"
"harvest_0_1day_above",1912,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.27076107363439,"met1"
"harvest_0_1day_above",1913,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.5625211981124,"met1"
"harvest_0_1day_above",1914,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",2.87848375375172,"met1"
"harvest_0_1day_above",1915,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.20949937265079,"met1"
"harvest_0_1day_above",1916,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.52101622176837,"met1"
"harvest_0_1day_above",1917,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.77826062826648,"met1"
"harvest_0_1day_above",1918,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",4.04764038027202,"met1"
"harvest_0_1day_above",1919,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",4.28151158124617,"met1"
"harvest_0_1day_above",1920,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",4.50096471809311,"met1"
"harvest_0_1day_above",1921,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",4.57644438831242,"met1"
"harvest_0_1day_above",1922,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",4.46125519857377,"met1"
"harvest_0_1day_above",1923,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",4.07876099990383,"met1"
"harvest_0_1day_above",1924,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.60729895211107,"met1"
"harvest_0_1day_above",1925,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.46337397574145,"met1"
"harvest_0_1day_above",1926,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.47391085629246,"met1"
"harvest_0_1day_above",1927,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.46859257856422,"met1"
"harvest_0_1day_above",1928,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.46838248328878,"met1"
"harvest_0_1day_above",1929,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.4680289606539,"met1"
"harvest_0_1day_above",1930,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.4628693035491,"met1"
"harvest_0_1day_above",1931,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.46615113791121,"met1"
"harvest_0_1day_above",1932,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.48822033242917,"met1"
"harvest_0_1day_above",1933,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.48417085915481,"met1"
"harvest_0_1day_above",1934,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.47189326789682,"met1"
"harvest_0_1day_above",1935,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.47317863685625,"met1"
"harvest_0_1day_above",1936,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.49627108736012,"met1"
"harvest_0_1day_above",1937,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.48806810628742,"met1"
"harvest_0_1day_above",1938,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.47920544343743,"met1"
"harvest_0_1day_above",1939,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.48065272800852,"met1"
"harvest_0_1day_above",1940,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.4918986844881,"met1"
"harvest_0_1day_above",1941,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.48395195359268,"met1"
"harvest_0_1day_above",1942,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.48308406584627,"met1"
"harvest_0_1day_above",1943,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.47163675153695,"met1"
"harvest_0_1day_above",1944,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.49374049044571,"met1"
"harvest_0_1day_above",1945,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.47935657806533,"met1"
"harvest_0_1day_above",1946,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.46678958830455,"met1"
"harvest_0_1day_above",1947,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.4716357958842,"met1"
"harvest_0_1day_above",1948,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.49102676820236,"met1"
"harvest_0_1day_above",1949,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.47380117669195,"met1"
"harvest_0_1day_above",1950,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.46865145763128,"met1"
"harvest_0_1day_above",1951,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.46087328007961,"met1"
"harvest_0_1day_above",1952,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.47612283556483,"met1"
"harvest_0_1day_above",1953,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.46617036142395,"met1"
"harvest_0_1day_above",1954,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.45983621787773,"met1"
"harvest_0_1day_above",1955,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.45108807415656,"met1"
"harvest_0_1day_above",1956,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.46524719285526,"met1"
"harvest_0_1day_above",1957,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.45433593444874,"met1"
"harvest_0_1day_above",1958,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.4352085029301,"met1"
"harvest_0_1day_above",1959,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.43676848005266,"met1"
"harvest_0_1day_above",1960,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.45763731277684,"met1"
"harvest_0_1day_above",1961,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.43676331570101,"met1"
"harvest_0_1day_above",1962,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.42027650700928,"met1"
"harvest_0_1day_above",1963,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.42436770510222,"met1"
"harvest_0_1day_above",1964,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.43357520902268,"met1"
"harvest_0_1day_above",1965,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.42088277724521,"met1"
"harvest_0_1day_above",1966,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.41395092529665,"met1"
"harvest_0_1day_above",1967,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.40639840112633,"met1"
"harvest_0_1day_above",1968,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.41848688091277,"met1"
"harvest_0_1day_above",1969,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.40888711343807,"met1"
"harvest_0_1day_above",1970,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.40251601865835,"met1"
"harvest_0_1day_above",1971,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.39867760450962,"met1"
"harvest_0_1day_above",1972,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.40684959148143,"met1"
"harvest_0_1day_above",1973,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.40117520015873,"met1"
"harvest_0_1day_above",1974,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.39058782047923,"met1"
"harvest_0_1day_above",1975,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.38252477613685,"met1"
"harvest_0_1day_above",1976,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.39700156220405,"met1"
"harvest_0_1day_above",1977,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.38878661362819,"met1"
"harvest_0_1day_above",1978,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.3794105163282,"met1"
"harvest_0_1day_above",1979,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.37209611075007,"met1"
"harvest_0_1day_above",1980,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.38679132781018,"met1"
"harvest_0_1day_above",1981,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.37794528484679,"met1"
"harvest_0_1day_above",1982,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.37025304112682,"met1"
"harvest_0_1day_above",1983,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.36690715223839,"met1"
"harvest_0_1day_above",1984,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.38310590761394,"met1"
"harvest_0_1day_above",1985,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.37135412170798,"met1"
"harvest_0_1day_above",1986,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.3615830763319,"met1"
"harvest_0_1day_above",1987,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.35929421383409,"met1"
"harvest_0_1day_above",1988,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.37605828422386,"met1"
"harvest_0_1day_above",1989,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.36324205024786,"met1"
"harvest_0_1day_above",1990,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.35384007132415,"met1"
"harvest_0_1day_above",1991,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.35597762063366,"met1"
"harvest_0_1day_above",1992,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.36402637446624,"met1"
"harvest_0_1day_above",1993,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.35413856807807,"met1"
"harvest_0_1day_above",1994,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.35338193853082,"met1"
"harvest_0_1day_above",1995,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.3473906064649,"met1"
"harvest_0_1day_above",1996,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.35860796867535,"met1"
"harvest_0_1day_above",1997,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.35107126108173,"met1"
"harvest_0_1day_above",1998,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.34353407051204,"met1"
"harvest_0_1day_above",1999,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.34305496558293,"met1"
"harvest_0_1day_above",2000,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.35031443155934,"met1"
"harvest_0_1day_above",2001,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.34564758018224,"met1"
"harvest_0_1day_above",2002,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.3389039900768,"met1"
"harvest_0_1day_above",2003,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.3323805961333,"met1"
"harvest_0_1day_above",2004,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.34582265252145,"met1"
"harvest_0_1day_above",2005,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.34226786898633,"met1"
"harvest_0_1day_above",2006,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.33132947757257,"met1"
"harvest_0_1day_above",2007,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.3301003123962,"met1"
"harvest_0_1day_above",2008,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.33948345804978,"met1"
"harvest_0_1day_above",2009,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.33348346975553,"met1"
"harvest_0_1day_above",2010,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.32898476095168,"met1"
"harvest_0_1day_above",2011,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.32659410633831,"met1"
"harvest_0_1day_above",2012,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.33511674584446,"met1"
"harvest_0_1day_above",2013,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.33084278382948,"met1"
"harvest_0_1day_above",2014,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.31956545277843,"met1"
"harvest_0_1day_above",2015,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.32086637815827,"met1"
"harvest_0_1day_above",2016,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.33065454926993,"met1"
"harvest_0_1day_above",2017,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.32220714170831,"met1"
"harvest_0_1day_above",2018,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.31635090004037,"met1"
"harvest_0_1day_above",2019,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.31534393610149,"met1"
"harvest_0_1day_above",2020,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.32752758373709,"met1"
"harvest_0_1day_above",2021,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.31536740174657,"met1"
"harvest_0_1day_above",2022,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.3092673997246,"met1"
"harvest_0_1day_above",2023,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.30957691875102,"met1"
"harvest_0_1day_above",2024,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.32151239239557,"met1"
"harvest_0_1day_above",2025,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.31281105476653,"met1"
"harvest_0_1day_above",2026,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.30591999563697,"met1"
"harvest_0_1day_above",2027,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.30458607347788,"met1"
"harvest_0_1day_above",2028,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.31864204962825,"met1"
"harvest_0_1day_above",2029,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.30777634908098,"met1"
"harvest_0_1day_above",2030,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.29990044132722,"met1"
"harvest_0_1day_above",2031,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.29938038360113,"met1"
"harvest_0_1day_above",2032,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.31190892709123,"met1"
"harvest_0_1day_above",2033,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.30040712577016,"met1"
"harvest_0_1day_above",2034,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.29762752953637,"met1"
"harvest_0_1day_above",2035,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.29416280421903,"met1"
"harvest_0_1day_above",2036,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.30587267731352,"met1"
"harvest_0_1day_above",2037,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.29876260632125,"met1"
"harvest_0_1day_above",2038,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.29144257861589,"met1"
"harvest_0_1day_above",2039,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.29017760496024,"met1"
"harvest_0_1day_above",2040,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.30381995547367,"met1"
"harvest_0_1day_above",2041,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.2917111705449,"met1"
"harvest_0_1day_above",2042,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.28704636839285,"met1"
"harvest_0_1day_above",2043,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.28587799913506,"met1"
"harvest_0_1day_above",2044,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.29784265723331,"met1"
"harvest_0_1day_above",2045,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.28896610273564,"met1"
"harvest_0_1day_above",2046,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.28356497632458,"met1"
"harvest_0_1day_above",2047,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.28067633525184,"met1"
"harvest_0_1day_above",2048,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.29262378591553,"met1"
"harvest_0_1day_above",2049,"NPP","Annual  Net primary productivity","MgC ha-1 year-1",3.28366974471127,"met1"
"harvest_0_1day_above",1901,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.00087620036235118,"met1"
"harvest_0_1day_above",1902,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.00222804133348594,"met1"
"harvest_0_1day_above",1903,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.00435521941350695,"met1"
"harvest_0_1day_above",1904,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.00748222298473896,"met1"
"harvest_0_1day_above",1905,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.011813963210443,"met1"
"harvest_0_1day_above",1906,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.0178021506872028,"met1"
"harvest_0_1day_above",1907,"Rh","Annual  Heterotrophic respiration","MgC ha-1 year-1",0.0257373429485597,"met1"
