"year","nbdsf","nddsf","vbdsf","vddsf","prate","dlwrf","pres","hgt","ugrd","vgrd","sh","tmp"
"1900",40.0536150469506,30.7908828008363,30.2158850354189,33.356789700906,1.47043775406982e-05,269.035616438356,99293.0045135916,50,0.711618571738674,-0.632677773580159,0.0034760130702723,270.625809844553
"1901",41.6708474414907,30.4507349134875,31.4359024558614,32.9882961562782,1.49558107630992e-05,269.768037056011,99231.3553433444,50,1.02581342777919,-0.643148067544718,0.00365669880509644,271.20840295677
"1902",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1903",40.2443819728519,30.775891594693,30.3597969268883,33.3405492275841,1.77756692600801e-05,266.311365582192,99199.1860605736,50,0.863006303408374,-0.391966037880884,0.00362152165919612,270.01633426196
"1904",41.9962850303207,30.9672445644478,31.6814080053296,33.5478482781518,1.69995494292769e-05,274.459952910959,99257.9311376284,50,0.519554203177152,-0.102803291033392,0.00405754061853694,271.993446067915
"1905",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1906",38.3551960271645,30.7506534197718,28.9346215643522,33.3132078714195,1.79272888265604e-05,270.483625856164,99172.605276113,50,0.932342659937192,-0.317716973775054,0.00363948318201487,271.078178269896
"1907",40.5052409191801,31.0196287561666,30.5565852548201,33.6045978191804,1.6586467706767e-05,273.725107020548,99203.5354933647,50,0.614320779826543,-0.170936579247044,0.00373429460547687,271.624731095196
"1908",41.56271450492,30.831463656032,31.3543284861677,33.4007522940347,1.37323193085154e-05,280.01459760274,99206.1519210188,50,0.691768546626992,-0.141818532551805,0.00406172722007185,273.924035362348
"1909",43.1177660098148,30.424843791873,32.5274375161761,32.9602474411957,1.40858180607548e-05,273.330323599727,99103.1214646303,50,0.915000680691557,-0.320472953423776,0.00388472206299153,272.053826300824
"1910",40.0536150469506,30.7908828008363,30.2158850354189,33.356789700906,1.47043775406982e-05,269.035616438356,99293.0045135916,50,0.711618571738674,-0.632677773580159,0.0034760130702723,270.625809844553
"1911",41.6708474414907,30.4507349134875,31.4359024558614,32.9882961562782,1.49558107630992e-05,269.768037056011,99231.3553433444,50,1.02581342777919,-0.643148067544718,0.00365669880509644,271.20840295677
"1912",43.7529187264871,30.7684824869214,33.0065878112095,33.3325226941648,1.45689213464181e-05,274.099550513699,99188.6116170805,50,0.692652032799917,-0.307005566113616,0.00388760656142414,272.929617664912
"1913",40.2443819728519,30.775891594693,30.3597969268883,33.3405492275841,1.77756692600801e-05,266.311365582192,99199.1860605736,50,0.863006303408374,-0.391966037880884,0.00362152165919612,270.01633426196
"1914",41.9962850303207,30.9672445644478,31.6814080053296,33.5478482781518,1.69995494292769e-05,274.459952910959,99257.9311376284,50,0.519554203177152,-0.102803291033392,0.00405754061853694,271.993446067915
"1915",43.0680789554257,30.416803943155,32.4899542997071,32.9515376050846,1.75294472133644e-05,273.09387807377,99174.5756328979,50,0.535411667954075,-0.123360980403879,0.00396858119687044,271.620107270329
"1916",38.3551960271645,30.7506534197718,28.9346215643522,33.3132078714195,1.79272888265604e-05,270.483625856164,99172.605276113,50,0.932342659937192,-0.317716973775054,0.00363948318201487,271.078178269896
