"year","nbdsf","nddsf","vbdsf","vddsf","prate","dlwrf","pres","hgt","ugrd","vgrd","sh","tmp"
"1900",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1901",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1902",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1903",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1904",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1905",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1906",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1907",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1908",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1909",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1910",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1911",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1912",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1913",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1914",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1915",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1916",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1917",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1918",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1919",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1920",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1921",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1922",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1923",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1924",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1925",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1926",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1927",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1928",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1929",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
"1930",47.219712235968,31.0030261828169,35.6218881780109,33.5866116980516,1.70181393200289e-05,273.228287671233,99189.4416416952,50,0.842606594725831,-0.48693785484523,0.00397775555942594,272.766966920618
